"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_legalstrength90"
"04/22/2025 15:21:45:600 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"38","10","legal","90","5","6.3999999999999915","93.60000000000001","38","10","legal","90","5","7","93","38","10","legal","90","5","6.3999999999999915","93.60000000000001","38","10","legal","90","5","8.5","91.5","38","10","legal","90","5","7","93","38","10","legal","90","5","8.099999999999994","91.9","38","10","legal","90","5","6.299999999999997","93.7","38","10","legal","90","5","7","93","38","10","legal","90","5","7.3999999999999915","92.60000000000001","38","10","legal","90","5","8","92"
,"39","10","legal","90","5","5.300000000000011","94.69999999999999","39","10","legal","90","5","5","95","39","10","legal","90","5","5.1000000000000085","94.89999999999999","39","10","legal","90","5","7.199999999999989","92.80000000000001","39","10","legal","90","5","5.400000000000006","94.6","39","10","legal","90","5","6.200000000000003","93.8","39","10","legal","90","5","4.700000000000003","95.3","39","10","legal","90","5","5.700000000000003","94.3","39","10","legal","90","5","5.900000000000006","94.1","39","10","legal","90","5","6.200000000000003","93.8"
,"40","10","legal","90","5","4.400000000000006","95.6","40","10","legal","90","5","4.200000000000003","95.8","40","10","legal","90","5","3.799999999999997","96.2","40","10","legal","90","5","5.200000000000003","94.8","40","10","legal","90","5","4.1000000000000085","95.89999999999999","40","10","legal","90","5","5","95","40","10","legal","90","5","3.9000000000000057","96.1","40","10","legal","90","5","4.6000000000000085","95.39999999999999","40","10","legal","90","5","4.700000000000003","95.3","40","10","legal","90","5","5.200000000000003","94.8"
,"41","10","legal","90","5","12.099999999999994","87.9","41","10","legal","90","5","11.900000000000006","88.1","41","10","legal","90","5","11.700000000000003","88.3","41","10","legal","90","5","13.099999999999994","86.9","41","10","legal","90","5","12.200000000000003","87.8","41","10","legal","90","5","13","87","41","10","legal","90","5","11.900000000000006","88.1","41","10","legal","90","5","13","87","41","10","legal","90","5","12.700000000000003","87.3","41","10","legal","90","5","12.5","87.5"
,"42","10","legal","90","5","9.399999999999991","90.60000000000001","42","10","legal","90","5","8.899999999999991","91.10000000000001","42","10","legal","90","5","8.200000000000003","91.8","42","10","legal","90","5","10.099999999999994","89.9","42","10","legal","90","5","8.099999999999994","91.9","42","10","legal","90","5","9.200000000000003","90.8","42","10","legal","90","5","9.099999999999994","90.9","42","10","legal","90","5","10.299999999999997","89.7","42","10","legal","90","5","9.099999999999994","90.9","42","10","legal","90","5","8.899999999999991","91.10000000000001"
,"43","10","legal","90","5","7.299999999999997","92.7","43","10","legal","90","5","6.1000000000000085","93.89999999999999","43","10","legal","90","5","5.800000000000011","94.19999999999999","43","10","legal","90","5","8.299999999999997","91.7","43","10","legal","90","5","6.799999999999997","93.2","43","10","legal","90","5","7.799999999999997","92.2","43","10","legal","90","5","6.599999999999994","93.4","43","10","legal","90","5","7.599999999999994","92.4","43","10","legal","90","5","6.5","93.5","43","10","legal","90","5","7.199999999999989","92.80000000000001"
,"44","10","legal","90","5","5.400000000000006","94.6","44","10","legal","90","5","4.200000000000003","95.8","44","10","legal","90","5","4.5","95.5","44","10","legal","90","5","6.699999999999989","93.30000000000001","44","10","legal","90","5","5.5","94.5","44","10","legal","90","5","6","94","44","10","legal","90","5","4.800000000000011","95.19999999999999","44","10","legal","90","5","6.299999999999997","93.7","44","10","legal","90","5","4.900000000000006","95.1","44","10","legal","90","5","5.300000000000011","94.69999999999999"
,"45","10","legal","90","5","4.200000000000003","95.8","45","10","legal","90","5","3.1000000000000085","96.89999999999999","45","10","legal","90","5","3.6000000000000085","96.39999999999999","45","10","legal","90","5","5.5","94.5","45","10","legal","90","5","4.6000000000000085","95.39999999999999","45","10","legal","90","5","4.299999999999997","95.7","45","10","legal","90","5","3.4000000000000057","96.6","45","10","legal","90","5","5.400000000000006","94.6","45","10","legal","90","5","4.1000000000000085","95.89999999999999","45","10","legal","90","5","3.700000000000003","96.3"
,"46","10","legal","90","5","12","88","46","10","legal","90","5","11.299999999999997","88.7","46","10","legal","90","5","11.299999999999997","88.7","46","10","legal","90","5","13.200000000000003","86.8","46","10","legal","90","5","13.099999999999994","86.9","46","10","legal","90","5","12.099999999999994","87.9","46","10","legal","90","5","11.5","88.5","46","10","legal","90","5","13.400000000000006","86.6","46","10","legal","90","5","12.5","87.5","46","10","legal","90","5","11.400000000000006","88.6"
,"47","10","legal","90","5","8.899999999999991","91.10000000000001","47","10","legal","90","5","8.200000000000003","91.8","47","10","legal","90","5","7.699999999999989","92.30000000000001","47","10","legal","90","5","9.299999999999997","90.7","47","10","legal","90","5","9.899999999999991","90.10000000000001","47","10","legal","90","5","8.5","91.5","47","10","legal","90","5","8.799999999999997","91.2","47","10","legal","90","5","10.5","89.5","47","10","legal","90","5","8.599999999999994","91.4","47","10","legal","90","5","8.299999999999997","91.7"
