"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_treatment_none"
"04/22/2025 15:30:50:199 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"21","30","none","30","5","0.7000000000000028","99.3","21","30","none","30","5","1.2000000000000028","98.8","21","30","none","30","5","1.0999999999999943","98.9","21","30","none","30","5","1.0999999999999943","98.9","21","30","none","30","5","1.0999999999999943","98.9","21","30","none","30","5","0.5","99.5","21","30","none","30","5","1.0999999999999943","98.9","21","30","none","30","5","1.2999999999999972","98.7","21","30","none","30","5","1.5999999999999943","98.4","21","30","none","30","5","1","99"
,"22","30","none","30","5","0.5","99.5","22","30","none","30","5","1.0999999999999943","98.9","22","30","none","30","5","1","99","22","30","none","30","5","0.7000000000000028","99.3","22","30","none","30","5","0.9000000000000057","99.1","22","30","none","30","5","0.20000000000000284","99.8","22","30","none","30","5","0.7999999999999972","99.2","22","30","none","30","5","1.0999999999999943","98.9","22","30","none","30","5","1.0999999999999943","98.9","22","30","none","30","5","0.9000000000000057","99.1"
,"23","30","none","30","5","0.29999999999999716","99.7","23","30","none","30","5","0.9000000000000057","99.1","23","30","none","30","5","0.7999999999999972","99.2","23","30","none","30","5","0.5999999999999943","99.4","23","30","none","30","5","0.9000000000000057","99.1","23","30","none","30","5","0.09999999999999432","99.9","23","30","none","30","5","0.4000000000000057","99.6","23","30","none","30","5","0.7999999999999972","99.2","23","30","none","30","5","1.0999999999999943","98.9","23","30","none","30","5","0.9000000000000057","99.1"
,"24","30","none","30","5","0.29999999999999716","99.7","24","30","none","30","5","0.7999999999999972","99.2","24","30","none","30","5","0.7999999999999972","99.2","24","30","none","30","5","0.5","99.5","24","30","none","30","5","0.7000000000000028","99.3","24","30","none","30","5","0.09999999999999432","99.9","24","30","none","30","5","0.20000000000000284","99.8","24","30","none","30","5","0.5","99.5","24","30","none","30","5","0.9000000000000057","99.1","24","30","none","30","5","0.7999999999999972","99.2"
,"25","30","none","30","5","0.29999999999999716","99.7","25","30","none","30","5","0.5999999999999943","99.4","25","30","none","30","5","0.5999999999999943","99.4","25","30","none","30","5","0.29999999999999716","99.7","25","30","none","30","5","0.7000000000000028","99.3","25","30","none","30","5","0.09999999999999432","99.9","25","30","none","30","5","0.20000000000000284","99.8","25","30","none","30","5","0.5","99.5","25","30","none","30","5","0.7999999999999972","99.2","25","30","none","30","5","0.7999999999999972","99.2"
,"26","30","none","30","5","0.29999999999999716","99.7","26","30","none","30","5","0.5999999999999943","99.4","26","30","none","30","5","0.5999999999999943","99.4","26","30","none","30","5","0.29999999999999716","99.7","26","30","none","30","5","0.7000000000000028","99.3","26","30","none","30","5","0.09999999999999432","99.9","26","30","none","30","5","0.20000000000000284","99.8","26","30","none","30","5","0.4000000000000057","99.6","26","30","none","30","5","0.7999999999999972","99.2","26","30","none","30","5","0.7000000000000028","99.3"
,"27","30","none","30","5","0.29999999999999716","99.7","27","30","none","30","5","0.29999999999999716","99.7","27","30","none","30","5","0.5999999999999943","99.4","27","30","none","30","5","0.29999999999999716","99.7","27","30","none","30","5","0.5","99.5","27","30","none","30","5","0.09999999999999432","99.9","27","30","none","30","5","0.09999999999999432","99.9","27","30","none","30","5","0.29999999999999716","99.7","27","30","none","30","5","0.5","99.5","27","30","none","30","5","0.5999999999999943","99.4"
,"28","30","none","30","5","0.29999999999999716","99.7","28","30","none","30","5","0.29999999999999716","99.7","28","30","none","30","5","0.5999999999999943","99.4","28","30","none","30","5","0.29999999999999716","99.7","28","30","none","30","5","0.4000000000000057","99.6","28","30","none","30","5","0.09999999999999432","99.9","28","30","none","30","5","0.09999999999999432","99.9","28","30","none","30","5","0.20000000000000284","99.8","28","30","none","30","5","0.5","99.5","28","30","none","30","5","0.5999999999999943","99.4"
,"29","30","none","30","5","0.29999999999999716","99.7","29","30","none","30","5","0.29999999999999716","99.7","29","30","none","30","5","0.5","99.5","29","30","none","30","5","0.29999999999999716","99.7","29","30","none","30","5","0.29999999999999716","99.7","29","30","none","30","5","0.09999999999999432","99.9","29","30","none","30","5","0.09999999999999432","99.9","29","30","none","30","5","0.20000000000000284","99.8","29","30","none","30","5","0.29999999999999716","99.7","29","30","none","30","5","0.4000000000000057","99.6"
,"30","30","none","30","5","0.29999999999999716","99.7","30","30","none","30","5","0.29999999999999716","99.7","30","30","none","30","5","0.29999999999999716","99.7","30","30","none","30","5","0.20000000000000284","99.8","30","30","none","30","5","0.29999999999999716","99.7","30","30","none","30","5","0.09999999999999432","99.9","30","30","none","30","5","0.09999999999999432","99.9","30","30","none","30","5","0.20000000000000284","99.8","30","30","none","30","5","0.20000000000000284","99.8","30","30","none","30","5","0.4000000000000057","99.6"
