"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_platformaccuracy70_speed75"
"04/22/2025 16:23:50:480 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"19","10","platform","70","75","22.799999999999997","77.2","19","10","platform","70","75","22.39999999999999","77.60000000000001","19","10","platform","70","75","24.799999999999997","75.2","19","10","platform","70","75","23.200000000000003","76.8","19","10","platform","70","75","25.200000000000003","74.8","19","10","platform","70","75","22.5","77.5","19","10","platform","70","75","23.700000000000003","76.3","19","10","platform","70","75","23.5","76.5","19","10","platform","70","75","25","75","19","10","platform","70","75","24.599999999999994","75.4"
,"20","10","platform","70","75","21.89999999999999","78.10000000000001","20","10","platform","70","75","22.299999999999997","77.7","20","10","platform","70","75","23.599999999999994","76.4","20","10","platform","70","75","23","77","20","10","platform","70","75","23.700000000000003","76.3","20","10","platform","70","75","22.799999999999997","77.2","20","10","platform","70","75","23.200000000000003","76.8","20","10","platform","70","75","24.099999999999994","75.9","20","10","platform","70","75","23.799999999999997","76.2","20","10","platform","70","75","23.599999999999994","76.4"
,"21","10","platform","70","75","22.599999999999994","77.4","21","10","platform","70","75","21.599999999999994","78.4","21","10","platform","70","75","22.39999999999999","77.60000000000001","21","10","platform","70","75","22.89999999999999","77.10000000000001","21","10","platform","70","75","22.39999999999999","77.60000000000001","21","10","platform","70","75","23.5","76.5","21","10","platform","70","75","23.099999999999994","76.9","21","10","platform","70","75","24.400000000000006","75.6","21","10","platform","70","75","22.200000000000003","77.8","21","10","platform","70","75","22.39999999999999","77.60000000000001"
,"22","10","platform","70","75","21.39999999999999","78.60000000000001","22","10","platform","70","75","20.299999999999997","79.7","22","10","platform","70","75","21.099999999999994","78.9","22","10","platform","70","75","23.099999999999994","76.9","22","10","platform","70","75","22.5","77.5","22","10","platform","70","75","21.5","78.5","22","10","platform","70","75","22.799999999999997","77.2","22","10","platform","70","75","23.299999999999997","76.7","22","10","platform","70","75","22","78","22","10","platform","70","75","22","78"
,"23","10","platform","70","75","21.799999999999997","78.2","23","10","platform","70","75","22.200000000000003","77.8","23","10","platform","70","75","21.5","78.5","23","10","platform","70","75","21.700000000000003","78.3","23","10","platform","70","75","21.89999999999999","78.10000000000001","23","10","platform","70","75","22.099999999999994","77.9","23","10","platform","70","75","23.5","76.5","23","10","platform","70","75","22.799999999999997","77.2","23","10","platform","70","75","22.200000000000003","77.8","23","10","platform","70","75","21.799999999999997","78.2"
,"24","10","platform","70","75","23","77","24","10","platform","70","75","22.39999999999999","77.60000000000001","24","10","platform","70","75","21.89999999999999","78.10000000000001","24","10","platform","70","75","21.89999999999999","78.10000000000001","24","10","platform","70","75","22.099999999999994","77.9","24","10","platform","70","75","21.89999999999999","78.10000000000001","24","10","platform","70","75","23.099999999999994","76.9","24","10","platform","70","75","22.599999999999994","77.4","24","10","platform","70","75","21.799999999999997","78.2","24","10","platform","70","75","22.099999999999994","77.9"
,"25","10","platform","70","75","21.200000000000003","78.8","25","10","platform","70","75","21.200000000000003","78.8","25","10","platform","70","75","21","79","25","10","platform","70","75","21.700000000000003","78.3","25","10","platform","70","75","20.5","79.5","25","10","platform","70","75","22.099999999999994","77.9","25","10","platform","70","75","23.299999999999997","76.7","25","10","platform","70","75","22.39999999999999","77.60000000000001","25","10","platform","70","75","21.099999999999994","78.9","25","10","platform","70","75","21.39999999999999","78.60000000000001"
,"26","10","platform","70","75","21.200000000000003","78.8","26","10","platform","70","75","20.799999999999997","79.2","26","10","platform","70","75","20.19999999999999","79.80000000000001","26","10","platform","70","75","21.200000000000003","78.8","26","10","platform","70","75","19.799999999999997","80.2","26","10","platform","70","75","20.89999999999999","79.10000000000001","26","10","platform","70","75","22.700000000000003","77.3","26","10","platform","70","75","21.200000000000003","78.8","26","10","platform","70","75","21.5","78.5","26","10","platform","70","75","19.69999999999999","80.30000000000001"
,"27","10","platform","70","75","20.599999999999994","79.4","27","10","platform","70","75","21.299999999999997","78.7","27","10","platform","70","75","20","80","27","10","platform","70","75","22.200000000000003","77.8","27","10","platform","70","75","20.599999999999994","79.4","27","10","platform","70","75","21","79","27","10","platform","70","75","22.299999999999997","77.7","27","10","platform","70","75","20.799999999999997","79.2","27","10","platform","70","75","22.39999999999999","77.60000000000001","27","10","platform","70","75","19.19999999999999","80.80000000000001"
,"28","10","platform","70","75","20.099999999999994","79.9","28","10","platform","70","75","20.5","79.5","28","10","platform","70","75","19.799999999999997","80.2","28","10","platform","70","75","22.599999999999994","77.4","28","10","platform","70","75","20.89999999999999","79.10000000000001","28","10","platform","70","75","20.89999999999999","79.10000000000001","28","10","platform","70","75","21.200000000000003","78.8","28","10","platform","70","75","20.5","79.5","28","10","platform","70","75","23","77","28","10","platform","70","75","20.39999999999999","79.60000000000001"
