"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_platformaccuracy80_speed50"
"04/22/2025 17:11:11:532 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"19","30","platform","80","50","18.30000000000001","81.69999999999999","19","30","platform","80","50","18.700000000000003","81.3","19","30","platform","80","50","15.600000000000009","84.39999999999999","19","30","platform","80","50","17.10000000000001","82.89999999999999","19","30","platform","80","50","16.5","83.5","19","30","platform","80","50","16.900000000000006","83.1","19","30","platform","80","50","17.80000000000001","82.19999999999999","19","30","platform","80","50","15.799999999999997","84.2","19","30","platform","80","50","16.299999999999997","83.7","19","30","platform","80","50","17.60000000000001","82.39999999999999"
,"20","30","platform","80","50","17","83","20","30","platform","80","50","18.89999999999999","81.10000000000001","20","30","platform","80","50","15.299999999999997","84.7","20","30","platform","80","50","15.799999999999997","84.2","20","30","platform","80","50","16.5","83.5","20","30","platform","80","50","16.900000000000006","83.1","20","30","platform","80","50","17.400000000000006","82.6","20","30","platform","80","50","15.900000000000006","84.1","20","30","platform","80","50","15.400000000000006","84.6","20","30","platform","80","50","17.10000000000001","82.89999999999999"
,"21","30","platform","80","50","17.200000000000003","82.8","21","30","platform","80","50","18","82","21","30","platform","80","50","15.400000000000006","84.6","21","30","platform","80","50","16.10000000000001","83.89999999999999","21","30","platform","80","50","17.10000000000001","82.89999999999999","21","30","platform","80","50","16.700000000000003","83.3","21","30","platform","80","50","17.10000000000001","82.89999999999999","21","30","platform","80","50","15.600000000000009","84.39999999999999","21","30","platform","80","50","15.600000000000009","84.39999999999999","21","30","platform","80","50","16.900000000000006","83.1"
,"22","30","platform","80","50","16.400000000000006","83.6","22","30","platform","80","50","17.30000000000001","82.69999999999999","22","30","platform","80","50","15","85","22","30","platform","80","50","15.799999999999997","84.2","22","30","platform","80","50","17.400000000000006","82.6","22","30","platform","80","50","15.799999999999997","84.2","22","30","platform","80","50","17.30000000000001","82.69999999999999","22","30","platform","80","50","16","84","22","30","platform","80","50","15.400000000000006","84.6","22","30","platform","80","50","16.400000000000006","83.6"
,"23","30","platform","80","50","16.400000000000006","83.6","23","30","platform","80","50","17.200000000000003","82.8","23","30","platform","80","50","14.400000000000006","85.6","23","30","platform","80","50","15.700000000000003","84.3","23","30","platform","80","50","17.200000000000003","82.8","23","30","platform","80","50","15.5","84.5","23","30","platform","80","50","17.200000000000003","82.8","23","30","platform","80","50","15.900000000000006","84.1","23","30","platform","80","50","15.100000000000009","84.89999999999999","23","30","platform","80","50","16.10000000000001","83.89999999999999"
,"24","30","platform","80","50","14.299999999999997","85.7","24","30","platform","80","50","16.200000000000003","83.8","24","30","platform","80","50","13.799999999999997","86.2","24","30","platform","80","50","16.700000000000003","83.3","24","30","platform","80","50","17.5","82.5","24","30","platform","80","50","16.200000000000003","83.8","24","30","platform","80","50","16.10000000000001","83.89999999999999","24","30","platform","80","50","15.799999999999997","84.2","24","30","platform","80","50","15","85","24","30","platform","80","50","15.900000000000006","84.1"
,"25","30","platform","80","50","14.200000000000003","85.8","25","30","platform","80","50","15.5","84.5","25","30","platform","80","50","13.900000000000006","86.1","25","30","platform","80","50","16.799999999999997","83.2","25","30","platform","80","50","16.299999999999997","83.7","25","30","platform","80","50","16.900000000000006","83.1","25","30","platform","80","50","15.600000000000009","84.39999999999999","25","30","platform","80","50","16.10000000000001","83.89999999999999","25","30","platform","80","50","14.299999999999997","85.7","25","30","platform","80","50","15.600000000000009","84.39999999999999"
,"26","30","platform","80","50","15.200000000000003","84.8","26","30","platform","80","50","15.799999999999997","84.2","26","30","platform","80","50","15.200000000000003","84.8","26","30","platform","80","50","16.5","83.5","26","30","platform","80","50","16","84","26","30","platform","80","50","16.10000000000001","83.89999999999999","26","30","platform","80","50","16.400000000000006","83.6","26","30","platform","80","50","15.600000000000009","84.39999999999999","26","30","platform","80","50","15.700000000000003","84.3","26","30","platform","80","50","15","85"
,"27","30","platform","80","50","15","85","27","30","platform","80","50","14.900000000000006","85.1","27","30","platform","80","50","15.900000000000006","84.1","27","30","platform","80","50","16.10000000000001","83.89999999999999","27","30","platform","80","50","15.799999999999997","84.2","27","30","platform","80","50","16.5","83.5","27","30","platform","80","50","16.200000000000003","83.8","27","30","platform","80","50","15.400000000000006","84.6","27","30","platform","80","50","15.299999999999997","84.7","27","30","platform","80","50","16.400000000000006","83.6"
,"28","30","platform","80","50","15.299999999999997","84.7","28","30","platform","80","50","15.600000000000009","84.39999999999999","28","30","platform","80","50","16.10000000000001","83.89999999999999","28","30","platform","80","50","16.700000000000003","83.3","28","30","platform","80","50","15.799999999999997","84.2","28","30","platform","80","50","14.900000000000006","85.1","28","30","platform","80","50","16.799999999999997","83.2","28","30","platform","80","50","15.799999999999997","84.2","28","30","platform","80","50","16","84","28","30","platform","80","50","17.10000000000001","82.89999999999999"
,"29","30","platform","80","50","13.900000000000006","86.1","29","30","platform","80","50","15.5","84.5","29","30","platform","80","50","16.400000000000006","83.6","29","30","platform","80","50","16.400000000000006","83.6","29","30","platform","80","50","14.799999999999997","85.2","29","30","platform","80","50","14.700000000000003","85.3","29","30","platform","80","50","16.799999999999997","83.2","29","30","platform","80","50","15","85","29","30","platform","80","50","16.60000000000001","83.39999999999999","29","30","platform","80","50","16.400000000000006","83.6"
