"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_legalstrength60_time1"
"04/22/2025 16:07:48:569 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"32","30","legal","60","1","33.2","66.8","32","30","legal","60","1","31.39999999999999","68.60000000000001","32","30","legal","60","1","31.299999999999997","68.7","32","30","legal","60","1","30.10000000000001","69.89999999999999","32","30","legal","60","1","32.8","67.2","32","30","legal","60","1","30","70","32","30","legal","60","1","31","69","32","30","legal","60","1","31.599999999999994","68.4","32","30","legal","60","1","30.80000000000001","69.19999999999999","32","30","legal","60","1","34.2","65.8"
,"33","30","legal","60","1","32.5","67.5","33","30","legal","60","1","31.10000000000001","68.89999999999999","33","30","legal","60","1","31.599999999999994","68.4","33","30","legal","60","1","30.900000000000006","69.1","33","30","legal","60","1","32.69999999999999","67.30000000000001","33","30","legal","60","1","30.10000000000001","69.89999999999999","33","30","legal","60","1","30.900000000000006","69.1","33","30","legal","60","1","31","69","33","30","legal","60","1","29.5","70.5","33","30","legal","60","1","32.89999999999999","67.10000000000001"
,"34","30","legal","60","1","32.89999999999999","67.10000000000001","34","30","legal","60","1","31.5","68.5","34","30","legal","60","1","31.200000000000003","68.8","34","30","legal","60","1","31.299999999999997","68.7","34","30","legal","60","1","32.099999999999994","67.9","34","30","legal","60","1","29.400000000000006","70.6","34","30","legal","60","1","30","70","34","30","legal","60","1","30.400000000000006","69.6","34","30","legal","60","1","29.5","70.5","34","30","legal","60","1","33.2","66.8"
,"35","30","legal","60","1","32.099999999999994","67.9","35","30","legal","60","1","30.80000000000001","69.19999999999999","35","30","legal","60","1","30.700000000000003","69.3","35","30","legal","60","1","31","69","35","30","legal","60","1","32.19999999999999","67.80000000000001","35","30","legal","60","1","30.60000000000001","69.39999999999999","35","30","legal","60","1","30.10000000000001","69.89999999999999","35","30","legal","60","1","29","71","35","30","legal","60","1","29.200000000000003","70.8","35","30","legal","60","1","32.8","67.2"
,"36","30","legal","60","1","32.599999999999994","67.4","36","30","legal","60","1","30.700000000000003","69.3","36","30","legal","60","1","31.69999999999999","68.30000000000001","36","30","legal","60","1","30","70","36","30","legal","60","1","32.89999999999999","67.10000000000001","36","30","legal","60","1","31.39999999999999","68.60000000000001","36","30","legal","60","1","30.80000000000001","69.19999999999999","36","30","legal","60","1","29.5","70.5","36","30","legal","60","1","29.10000000000001","70.89999999999999","36","30","legal","60","1","32.3","67.7"
,"37","30","legal","60","1","33.2","66.8","37","30","legal","60","1","31.39999999999999","68.60000000000001","37","30","legal","60","1","31.299999999999997","68.7","37","30","legal","60","1","28.900000000000006","71.1","37","30","legal","60","1","32.599999999999994","67.4","37","30","legal","60","1","31.69999999999999","68.30000000000001","37","30","legal","60","1","30.700000000000003","69.3","37","30","legal","60","1","30.700000000000003","69.3","37","30","legal","60","1","30.10000000000001","69.89999999999999","37","30","legal","60","1","32.5","67.5"
,"38","30","legal","60","1","33.599999999999994","66.4","38","30","legal","60","1","30","70","38","30","legal","60","1","31.39999999999999","68.60000000000001","38","30","legal","60","1","28.5","71.5","38","30","legal","60","1","31.599999999999994","68.4","38","30","legal","60","1","32.5","67.5","38","30","legal","60","1","30.400000000000006","69.6","38","30","legal","60","1","31.10000000000001","68.89999999999999","38","30","legal","60","1","30.10000000000001","69.89999999999999","38","30","legal","60","1","31.799999999999997","68.2"
,"39","30","legal","60","1","32.8","67.2","39","30","legal","60","1","30.80000000000001","69.19999999999999","39","30","legal","60","1","30.200000000000003","69.8","39","30","legal","60","1","28.5","71.5","39","30","legal","60","1","31","69","39","30","legal","60","1","33.099999999999994","66.9","39","30","legal","60","1","30.900000000000006","69.1","39","30","legal","60","1","31","69","39","30","legal","60","1","30.200000000000003","69.8","39","30","legal","60","1","31","69"
,"40","30","legal","60","1","32.3","67.7","40","30","legal","60","1","29.80000000000001","70.19999999999999","40","30","legal","60","1","29.80000000000001","70.19999999999999","40","30","legal","60","1","27.799999999999997","72.2","40","30","legal","60","1","30.60000000000001","69.39999999999999","40","30","legal","60","1","30.80000000000001","69.19999999999999","40","30","legal","60","1","30.700000000000003","69.3","40","30","legal","60","1","30.10000000000001","69.89999999999999","40","30","legal","60","1","30.30000000000001","69.69999999999999","40","30","legal","60","1","31.10000000000001","68.89999999999999"
,"41","30","legal","60","1","32.8","67.2","41","30","legal","60","1","29.60000000000001","70.39999999999999","41","30","legal","60","1","29.5","70.5","41","30","legal","60","1","28","72","41","30","legal","60","1","30.200000000000003","69.8","41","30","legal","60","1","30.80000000000001","69.19999999999999","41","30","legal","60","1","30.60000000000001","69.39999999999999","41","30","legal","60","1","29.10000000000001","70.89999999999999","41","30","legal","60","1","30.5","69.5","41","30","legal","60","1","29.900000000000006","70.1"
