"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp2_legal_main"
"08/07/2026 20:14:36:700 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","96.3","29.7","66.6","37.93604651162791","62.06395348837209","3.6999999999999997","297","261","427"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","94.4","18","76.4","41.3265306122449","58.673469387755105","5.6000000000000005","180","162","230"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","9","93.7","17.8","75.9","45.08816120906801","54.91183879093199","6.3","178","179","218"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","93.8","18.3","75.5","46.54377880184332","53.45622119815668","6.2","183","202","232"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","93.4","21.2","72.2","47.0703125","52.9296875","6.6000000000000005","212","241","271"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","95.4","23.200000000000003","72.2","41.37931034482759","58.620689655172406","4.6","232","204","289"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","94.4","19.400000000000002","75","40.37122969837587","59.62877030162414","5.6000000000000005","194","174","257"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","10","93.6","19.2","74.39999999999999","43.48837209302325","56.51162790697675","6.4","192","187","243"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","93.8","20.7","73.1","44.957983193277315","55.04201680672269","6.2","207","214","262"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","96.2","30.9","65.30000000000001","36.50137741046832","63.498622589531685","3.8","309","265","461"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","95.3","24.6","70.69999999999999","40.11299435028249","59.887005649717516","4.7","246","213","318"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","93.6","20.599999999999998","73","41.810344827586206","58.189655172413794","6.4","206","194","270"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","93","22.2","70.8","46.39556377079482","53.60443622920518","7.000000000000001","222","251","290"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","96.5","32.2","64.3","36.139896373057","63.86010362694301","3.5000000000000004","322","279","493"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","11","94.4","20.5","73.9","40.899357601713064","59.100642398286936","5.6000000000000005","205","191","276"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","94.6","26.1","68.5","40.55944055944056","59.44055944055944","5.4","261","232","340"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","93.8","21.8","72","44.881889763779526","55.118110236220474","6.2","218","228","280"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","96.5","33","63.5","35.257214554579676","64.74278544542032","3.5000000000000004","330","281","516"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","94.4","21.9","72.5","40.5940594059406","59.4059405940594","5.6000000000000005","219","205","300"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","93.1","24.6","68.5","45.051194539249146","54.94880546075085","6.9","246","264","322"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","12","93.7","22.1","71.6","41.63346613545817","58.366533864541836","6.3","221","209","293"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","93.9","23.599999999999998","70.30000000000001","43.875685557586834","56.12431444241316","6.1","236","240","307"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","96.4","34.300000000000004","62.1","34.09915356711004","65.90084643288996","3.5999999999999996","343","282","545"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","94.4","23.5","70.9","40.550458715596335","59.44954128440367","5.6000000000000005","235","221","324"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","13","93.6","23.200000000000003","70.39999999999999","41.32841328413284","58.671586715867164","6.4","232","224","318"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","92.9","26.200000000000003","66.7","44.49760765550239","55.50239234449761","7.1","262","279","348"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","22","96.5","35","61.5","33.48837209302326","66.51162790697674","3.5000000000000004","350","288","572"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","93.6","24.9","68.69999999999999","43.321917808219176","56.678082191780824","6.4","249","253","331"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","94.8","27.200000000000003","67.6","40.29605263157895","59.70394736842105","5.2","272","245","363"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","94.1","24.8","69.3","39.168110918544194","60.831889081455806","5.8999999999999995","248","226","351"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","14","93.7","24.099999999999998","69.60000000000001","41.21739130434783","58.78260869565217","6.3","241","237","338"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","95","28.299999999999997","66.7","39.50617283950617","60.49382716049383","5","283","256","392"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","23","96.6","35.5","61.099999999999994","33.182332955832386","66.8176670441676","3.4000000000000004","355","293","590"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","94.3","26.200000000000003","68.1","38.83495145631068","61.165048543689316","5.7","262","240","378"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","15","93.5","25.1","68.4","40.87947882736157","59.12052117263844","6.5","251","251","363"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","24","96.7","36.1","60.6","33.03867403314917","66.96132596685082","3.3000000000000003","361","299","606"
