"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp1_baseline"
"08/07/2026 20:13:58:949 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","10","18.200000000000003","0","18.200000000000003","0","0","81.8","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","10","22.700000000000003","0","22.700000000000003","0","0","77.3","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","12","14.5","0","14.5","0","0","85.5","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","11","16.10000000000001","0","16.10000000000001","0","0","83.89999999999999","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","10","22.099999999999994","0","22.099999999999994","0","0","77.9","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","11","17.400000000000006","0","17.400000000000006","0","0","82.6","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","12","15.299999999999997","0","15.299999999999997","0","0","84.7","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","11","14.799999999999997","0","14.799999999999997","0","0","85.2","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","13","12","0","12","0","0","88","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","12","11.5","0","11.5","0","0","88.5","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","12","13.799999999999997","0","13.799999999999997","0","0","86.2","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","11","19","0","19","0","0","81","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","13","12.700000000000003","0","12.700000000000003","0","0","87.3","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","12","12.5","0","12.5","0","0","87.5","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","14","9.200000000000003","0","9.200000000000003","0","0","90.8","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","13","11.599999999999994","0","11.599999999999994","0","0","88.4","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","13","9","0","9","0","0","91","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","14","10.900000000000006","0","10.900000000000006","0","0","89.1","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","12","16.700000000000003","0","16.700000000000003","0","0","83.3","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","15","7.3999999999999915","0","7.3999999999999915","0","0","92.60000000000001","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","13","9.399999999999991","0","9.399999999999991","0","0","90.60000000000001","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","14","6.5","0","6.5","0","0","93.5","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","15","8.799999999999997","0","8.799999999999997","0","0","91.2","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","14","9.399999999999991","0","9.399999999999991","0","0","90.60000000000001","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","13","12.900000000000006","0","12.900000000000006","0","0","87.1","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","16","6.200000000000003","0","6.200000000000003","0","0","93.8","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","14","7.099999999999994","0","7.099999999999994","0","0","92.9","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","15","5","0","5","0","0","95","0","0","0"
