"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp7b_scale-check(b)"
"08/07/2026 20:17:48:684 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","num-nodes","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted","mean-degree","max-degree","degree-sd","count-isolates","mean-super-degree","legal-load","audit-load"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","10","20.24000000000001","0","20.24000000000001","0","0","79.75999999999999","0","0","0","3.9988","138","5.694285164681173","0","47.56","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","10","21.560000000000002","0","21.560000000000002","0","0","78.44","0","0","0","3.9988","289","7.134968823759778","0","49.16","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","10","22.39999999999999","0","22.39999999999999","0","0","77.60000000000001","0","0","0","3.9988","143","5.951023567110121","0","47.46","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","10","21.700000000000003","0","21.700000000000003","0","0","78.3","0","0","0","3.9988","225","6.33413157461715","0","47.02","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","12","14.939999999999998","0","14.939999999999998","0","0","85.06","0","0","0","3.9988","171","5.683912378985721","0","44.62","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","11","16.42","0","16.42","0","0","83.58","0","0","0","3.9988","138","5.694285164681185","0","47.56","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","12","14.88000000000001","0","14.88000000000001","0","0","85.11999999999999","0","0","0","3.9988","253","6.501234634310292","0","47.9","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","11","17.22","0","17.22","0","0","82.78","0","0","0","3.9988","289","7.134968823759825","0","49.16","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","11","17.86","0","17.86","0","0","82.14","0","0","0","3.9988","143","5.951023567110121","0","47.46","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","11","17.200000000000003","0","17.200000000000003","0","0","82.8","0","0","0","3.9988","225","6.334131574617184","0","47.02","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","12","12.920000000000002","0","12.920000000000002","0","0","87.08","0","0","0","3.9988","138","5.694285164681174","0","47.56","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","13","12.14","0","12.14","0","0","87.86","0","0","0","3.9988","253","6.501234634310209","0","47.9","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","13","12.060000000000002","0","12.060000000000002","0","0","87.94","0","0","0","3.9988","171","5.683912378985734","0","44.62","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","12","13.86","0","13.86","0","0","86.14","0","0","0","3.9988","289","7.134968823759779","0","49.16","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","12","14.14","0","14.14","0","0","85.86","0","0","0","3.9988","225","6.3341315746172056","0","47.02","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","12","14.099999999999994","0","14.099999999999994","0","0","85.9","0","0","0","3.9988","143","5.9510235671101555","0","47.46","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","13","11.400000000000006","0","11.400000000000006","0","0","88.6","0","0","0","3.9988","225","6.334131574617134","0","47.02","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","13","10.560000000000002","0","10.560000000000002","0","0","89.44","0","0","0","3.9988","138","5.6942851646812045","0","47.56","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","13","10.680000000000007","0","10.680000000000007","0","0","89.32","0","0","0","3.9988","289","7.134968823759784","0","49.16","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","14","10","0","10","0","0","90","0","0","0","3.9988","253","6.5012346343101965","0","47.9","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","13","11.439999999999998","0","11.439999999999998","0","0","88.56","0","0","0","3.9988","143","5.951023567110137","0","47.46","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","14","9.840000000000003","0","9.840000000000003","0","0","90.16","0","0","0","3.9988","171","5.683912378985802","0","44.62","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","14","8.760000000000005","0","8.760000000000005","0","0","91.24","0","0","0","3.9988","289","7.13496882375984","0","49.16","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","15","8.179999999999993","0","8.179999999999993","0","0","91.82000000000001","0","0","0","3.9988","253","6.501234634310214","0","47.9","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","14","8.879999999999995","0","8.879999999999995","0","0","91.12","0","0","0","3.9988","225","6.334131574617198","0","47.02","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","14","8.599999999999994","0","8.599999999999994","0","0","91.4","0","0","0","3.9988","138","5.694285164681174","0","47.56","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","14","9.240000000000009","0","9.240000000000009","0","0","90.75999999999999","0","0","0","3.9988","143","5.951023567110107","0","47.46","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","15","7.799999999999997","0","7.799999999999997","0","0","92.2","0","0","0","3.9988","171","5.6839123789857515","0","44.62","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","15","6.699999999999989","0","6.699999999999989","0","0","93.30000000000001","0","0","0","3.9988","289","7.134968823759802","0","49.16","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","15","7.099999999999994","0","7.099999999999994","0","0","92.9","0","0","0","3.9988","138","5.69428516468121","0","47.56","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","16","6.47999999999999","0","6.47999999999999","0","0","93.52000000000001","0","0","0","3.9988","253","6.501234634310241","0","47.9","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","16","6.340000000000003","0","6.340000000000003","0","0","93.66","0","0","0","3.9988","171","5.6839123789857515","0","44.62","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","15","7","0","7","0","0","93","0","0","0","3.9988","225","6.334131574617199","0","47.02","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","15","7.459999999999994","0","7.459999999999994","0","0","92.54","0","0","0","3.9988","143","5.951023567110135","0","47.46","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","17","5.040000000000006","0","5.040000000000006","0","0","94.96","0","0","0","3.9988","171","5.683912378985735","0","44.62","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","17","5.1200000000000045","0","5.1200000000000045","0","0","94.88","0","0","0","3.9988","253","6.501234634310298","0","47.9","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","16","5.320000000000007","0","5.320000000000007","0","0","94.67999999999999","0","0","0","3.9988","289","7.134968823759799","0","49.16","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","16","5.8799999999999955","0","5.8799999999999955","0","0","94.12","0","0","0","3.9988","138","5.694285164681234","0","47.56","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","18","4.239999999999995","0","4.239999999999995","0","0","95.76","0","0","0","3.9988","171","5.683912378985728","0","44.62","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","18","4","0","4","0","0","96","0","0","0","3.9988","253","6.501234634310261","0","47.9","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","19","3.6400000000000006","0","3.6400000000000006","0","0","96.36","0","0","0","3.9988","171","5.683912378985789","0","44.62","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","17","4.359999999999999","0","4.359999999999999","0","0","95.64","0","0","0","3.9988","289","7.134968823759821","0","49.16","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","16","5.560000000000002","0","5.560000000000002","0","0","94.44","0","0","0","3.9988","225","6.3341315746171665","0","47.02","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","19","3.259999999999991","0","3.259999999999991","0","0","96.74000000000001","0","0","0","3.9988","253","6.501234634310268","0","47.9","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","16","5.840000000000003","0","5.840000000000003","0","0","94.16","0","0","0","3.9988","143","5.95102356711015","0","47.46","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","20","2.9399999999999977","0","2.9399999999999977","0","0","97.06","0","0","0","3.9988","171","5.683912378985695","0","44.62","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","17","4.800000000000011","0","4.800000000000011","0","0","95.19999999999999","0","0","0","3.9988","138","5.694285164681195","0","47.56","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","20","2.6599999999999966","0","2.6599999999999966","0","0","97.34","0","0","0","3.9988","253","6.501234634310304","0","47.9","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","17","4.579999999999998","0","4.579999999999998","0","0","95.42","0","0","0","3.9988","143","5.951023567110169","0","47.46","3500","3750"
"6","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","21","2.180000000000007","0","2.180000000000007","0","0","97.82","0","0","0","3.9988","171","5.683912378985745","0","44.62","3500","3750"
"4","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","18","3.8599999999999994","0","3.8599999999999994","0","0","96.14","0","0","0","3.9988","138","5.694285164681232","0","47.56","3500","3750"
"2","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","18","3.700000000000003","0","3.700000000000003","0","0","96.3","0","0","0","3.9988","289","7.134968823759805","0","49.16","3500","3750"
"5","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","17","4.280000000000001","0","4.280000000000001","0","0","95.72","0","0","0","3.9988","225","6.334131574617135","0","47.02","3500","3750"
"1","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","21","2.239999999999995","0","2.239999999999995","0","0","97.76","0","0","0","3.9988","253","6.501234634310259","0","47.9","3500","3750"
"3","none","targeted","BA","10","5000","70","5","95","80","75","2","0.1","0.1","0.5","1","1","50","18","3.4599999999999937","0","3.4599999999999937","0","0","96.54","0","0","0","3.9988","143","5.951023567110114","0","47.46","3500","3750"
